City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Vaitape,PF,2021-05-24 19:47:33,-16.5167,-151.75,81.52,75,93,11.18
272,Itupiranga,BR,2021-05-24 19:44:12,-5.1347,-49.3267,89.92,68,63,3.91
273,Lompoc,US,2021-05-24 19:47:33,34.6391,-120.4579,89.1,57,1,14.97
274,Manta,EC,2021-05-24 19:47:34,-0.95,-80.7333,80.38,74,75,9.22
275,Solnechnyy,RU,2021-05-24 19:47:34,50.7214,136.6319,39.52,98,100,3.74
276,Kudat,MY,2021-05-24 19:47:34,6.8837,116.8477,77.29,94,40,3.44
277,Port Augusta,AU,2021-05-24 19:47:35,-32.5,137.7667,60.71,86,100,18.37
278,Umm Lajj,SA,2021-05-24 19:47:35,25.0213,37.2685,83.07,53,0,8.25
279,Sinop,TR,2021-05-24 19:47:35,41.7711,34.8709,54.43,66,4,2.89
280,Cachoeiro De Itapemirim,BR,2021-05-24 19:47:36,-20.8489,-41.1128,74.08,82,85,5.99
281,Nova Friburgo,BR,2021-05-24 19:47:36,-22.2819,-42.5311,66.11,93,100,3.09
282,Karacakoy,TR,2021-05-24 19:47:36,41.4029,28.3834,66.24,90,100,10.2
283,Phalombe,MW,2021-05-24 19:47:37,-15.8064,35.6507,56.8,89,20,5.95
284,Lamu,KE,2021-05-24 19:47:37,-2.2717,40.902,78.69,78,8,18.63
285,Grand Gaube,MU,2021-05-24 19:47:37,-20.0064,57.6608,73.8,78,21,4.0
286,Kingston,JM,2021-05-24 19:47:38,17.997,-76.7936,86.95,69,20,5.01
287,Vostok,RU,2021-05-24 19:47:38,46.4856,135.8833,39.9,96,66,2.33
288,Vardo,NO,2021-05-24 19:47:38,70.3705,31.1107,37.38,60,75,2.3
289,Jaque,PA,2021-05-24 19:47:39,7.5175,-78.1703,82.4,83,96,6.62
290,George,ZA,2021-05-24 19:47:39,-33.963,22.4617,56.75,82,0,5.75
291,Saint-Pierre,RE,2021-05-24 19:47:39,-21.3393,55.4781,71.28,85,90,17.27
292,Sauk Rapids,US,2021-05-24 19:47:40,45.5919,-94.1661,86.56,37,1,5.01
293,Tarija,BO,2021-05-24 19:47:40,-21.5355,-64.7296,64.31,48,100,0.0
